osmid,geom
65360287,POINT (-122.4196302 37.8019952)
4658949690,POINT (-122.4196104 37.8019957)
1264329179,POINT (-122.4195397 37.8019977)
4045405509,POINT (-122.4195324 37.8019983)
4045405563,POINT (-122.4195245 37.8019995)
4045405570,POINT (-122.4195162 37.8020015)
4045405621,POINT (-122.4195086 37.8020041)
4045405614,POINT (-122.4195015 37.8020073)
4045405520,POINT (-122.4194949 37.8020111)
4045405576,POINT (-122.4194886 37.8020157)
4045405567,POINT (-122.4194836 37.8020202)
4045405606,POINT (-122.4194241 37.8020754)
4045405629,POINT (-122.4194176 37.8020809)
4045405568,POINT (-122.4194103 37.8020858)
4045405538,POINT (-122.419402 37.8020898)
4045405497,POINT (-122.4193933 37.8020926)
4045405628,POINT (-122.419383 37.8020947)
4045405534,POINT (-122.4193727 37.8020953)
4045405596,POINT (-122.4193628 37.8020948)
4045405505,POINT (-122.4193534 37.8020935)
4045405600,POINT (-122.4193437 37.8020908)
4045405597,POINT (-122.4193351 37.8020874)
4045405539,POINT (-122.4193263 37.8020831)
4045405515,POINT (-122.4193185 37.8020784)
4045405608,POINT (-122.4193118 37.8020731)
4045405530,POINT (-122.4192561 37.8020192)
4045405550,POINT (-122.41925 37.8020142)
4045405556,POINT (-122.4192431 37.8020096)
4045405546,POINT (-122.4192355 37.8020058)
4045405588,POINT (-122.4192272 37.8020024)
4045405559,POINT (-122.4192182 37.8019997)
4045405522,POINT (-122.4192099 37.8019981)
4045405572,POINT (-122.4192009 37.8019972)
4045405526,POINT (-122.4191909 37.8019972)
4045405574,POINT (-122.4191816 37.8019989)
4045405557,POINT (-122.4191728 37.8020018)
4045405615,POINT (-122.4191647 37.8020053)
4045405577,POINT (-122.4191571 37.80201)
4045405554,POINT (-122.4191507 37.8020154)
4045405537,POINT (-122.4191454 37.8020214)
4045405589,POINT (-122.4191412 37.8020275)
4045405506,POINT (-122.4191378 37.8020342)
4045405558,POINT (-122.4191096 37.8020988)
4045405547,POINT (-122.4191063 37.8021053)
4045405502,POINT (-122.4191021 37.8021114)
4045405524,POINT (-122.4190971 37.8021171)
4045405575,POINT (-122.4190906 37.8021227)
