TAZ,distr,AMshare,PMshare,OPshare
1,10,0.07,0.07,0.09
2,11,0.03,0.02,0.04
3,10,0.07,0.07,0.09
4,11,0.03,0.02,0.04
5,10,0.07,0.07,0.09
6,10,0.07,0.07,0.09
7,10,0.07,0.07,0.09
8,11,0.03,0.02,0.04
9,11,0.03,0.02,0.04
10,11,0.03,0.02,0.04
11,11,0.03,0.02,0.04
12,10,0.07,0.07,0.09
13,11,0.03,0.02,0.04
14,11,0.03,0.02,0.04
15,10,0.07,0.07,0.09
16,11,0.03,0.02,0.04
17,10,0.07,0.07,0.09
18,10,0.07,0.07,0.09
19,11,0.03,0.02,0.04
20,11,0.03,0.02,0.04
21,11,0.03,0.02,0.04
22,11,0.03,0.02,0.04
23,10,0.07,0.07,0.09
24,11,0.03,0.02,0.04
25,11,0.03,0.02,0.04
26,11,0.03,0.02,0.04
27,10,0.07,0.07,0.09
28,11,0.03,0.02,0.04
29,11,0.03,0.02,0.04
30,10,0.07,0.07,0.09
31,7,0.05,0.04,0.05
32,11,0.03,0.02,0.04
33,11,0.03,0.02,0.04
34,7,0.05,0.04,0.05
35,11,0.03,0.02,0.04
36,10,0.07,0.07,0.09
37,11,0.03,0.02,0.04
38,11,0.03,0.02,0.04
39,11,0.03,0.02,0.04
40,11,0.03,0.02,0.04
41,11,0.03,0.02,0.04
42,11,0.03,0.02,0.04
43,11,0.03,0.02,0.04
44,10,0.07,0.07,0.09
45,11,0.03,0.02,0.04
46,11,0.03,0.02,0.04
47,11,0.03,0.02,0.04
48,11,0.03,0.02,0.04
49,9,0.10,0.09,0.12
50,11,0.03,0.02,0.04
51,9,0.10,0.09,0.12
52,7,0.05,0.04,0.05
53,7,0.05,0.04,0.05
54,7,0.05,0.04,0.05
55,11,0.03,0.02,0.04
56,11,0.03,0.02,0.04
57,9,0.10,0.09,0.12
58,11,0.03,0.02,0.04
59,7,0.05,0.04,0.05
60,9,0.10,0.09,0.12
61,11,0.03,0.02,0.04
62,11,0.03,0.02,0.04
63,9,0.10,0.09,0.12
64,9,0.10,0.09,0.12
65,7,0.05,0.04,0.05
66,11,0.03,0.02,0.04
67,10,0.07,0.07,0.09
68,10,0.07,0.07,0.09
69,11,0.03,0.02,0.04
70,9,0.10,0.09,0.12
71,7,0.05,0.04,0.05
72,11,0.03,0.02,0.04
73,7,0.05,0.04,0.05
74,10,0.07,0.07,0.09
75,9,0.10,0.09,0.12
76,10,0.07,0.07,0.09
77,11,0.03,0.02,0.04
78,8,0.10,0.08,0.12
79,9,0.10,0.09,0.12
80,8,0.10,0.08,0.12
81,7,0.05,0.04,0.05
82,7,0.05,0.04,0.05
83,7,0.05,0.04,0.05
84,7,0.05,0.04,0.05
85,7,0.05,0.04,0.05
86,7,0.05,0.04,0.05
87,9,0.10,0.09,0.12
88,9,0.10,0.09,0.12
89,10,0.07,0.07,0.09
90,9,0.10,0.09,0.12
91,7,0.05,0.04,0.05
92,9,0.10,0.09,0.12
93,4,0.04,0.03,0.05
94,8,0.10,0.08,0.12
95,8,0.10,0.08,0.12
96,9,0.10,0.09,0.12
97,8,0.10,0.08,0.12
98,9,0.10,0.09,0.12
99,4,0.04,0.03,0.05
100,9,0.10,0.09,0.12
101,8,0.10,0.08,0.12
102,9,0.10,0.09,0.12
103,7,0.05,0.04,0.05
104,8,0.10,0.08,0.12
105,9,0.10,0.09,0.12
106,4,0.04,0.03,0.05
107,8,0.10,0.08,0.12
108,9,0.10,0.09,0.12
109,7,0.05,0.04,0.05
110,4,0.04,0.03,0.05
111,4,0.04,0.03,0.05
112,4,0.04,0.03,0.05
113,8,0.10,0.08,0.12
114,9,0.10,0.09,0.12
115,7,0.05,0.04,0.05
116,9,0.10,0.09,0.12
117,7,0.05,0.04,0.05
118,7,0.05,0.04,0.05
119,8,0.10,0.08,0.12
