"year","group_mode","group_purpose","odistrict","downtown","soma","n_beach_and_chinatown","western_market","mission_and_potrero","noe_and_glen_and_bernal","marina_and_n_heights","richmond","bayshore","outer_mission","hill_districts","sunset","south_bay","east_bay","north_bay"
"2050","drive","mandatory","Bayshore",4087.0,3522.0,1527.0,2320.0,7974.0,3061.0,1753.0,1095.0,15720.0,3677.0,2619.0,3805.0,20849.0,7369.0,1276.0
"2015","transit","discretionary","East Bay",8364.0,1433.0,1818.0,858.0,1002.0,270.0,611.0,202.0,224.0,215.0,153.0,341.0,850.0,84328.0,160.0
"2050","transit","discretionary","East Bay",14163.0,3921.0,2855.0,1401.0,2046.0,392.0,980.0,434.0,442.0,341.0,305.0,649.0,2498.0,136512.0,270.0
"2015","transit","discretionary","Marina/N. Heights",5345.0,608.0,1857.0,1774.0,673.0,326.0,2390.0,1030.0,127.0,245.0,259.0,704.0,226.0,628.0,261.0
"2050","drive","discretionary","East Bay",11560.0,12032.0,5675.0,5667.0,10852.0,2644.0,4278.0,2679.0,6347.0,3265.0,1970.0,5127.0,194456.0,7633995.0,80840.0
"2050","uber/lyft","discretionary","East Bay",365.0,401.0,233.0,49.0,92.0,6.0,24.0,2.0,9.0,4.0,4.0,12.0,217.0,99480.0,171.0
"2015","walk/bike","total","Downtown",126275.0,22989.0,34672.0,14954.0,9089.0,1269.0,11218.0,1524.0,674.0,341.0,475.0,1033.0,265.0,1.0,68.0
"2050","drive","discretionary","North Bay",3269.0,1630.0,2409.0,2900.0,2079.0,673.0,4128.0,3383.0,801.0,724.0,754.0,3310.0,3118.0,80588.0,1930724.0
"2015","walk/bike","discretionary","Western Market",10114.0,3159.0,2457.0,32373.0,6569.0,2047.0,9439.0,1907.0,176.0,175.0,1009.0,2204.0,65.0,0.0,9.0
"2015","walk/bike","discretionary","Noe/Glen/Bernal",581.0,337.0,147.0,2024.0,5227.0,10355.0,260.0,66.0,1834.0,1476.0,1460.0,353.0,140.0,0.0,3.0
"2050","walk/bike","discretionary","Outer Mission",133.0,129.0,47.0,206.0,533.0,1584.0,58.0,61.0,1652.0,19586.0,3401.0,3403.0,2821.0,0.0,1.0
"2050","transit","total","Downtown",33749.0,25413.0,17765.0,21543.0,39916.0,8972.0,15936.0,10173.0,13773.0,8585.0,6385.0,14327.0,25395.0,81253.0,5356.0
"2050","uber/lyft","total","Mission/Potrero",10002.0,12568.0,4040.0,3368.0,10389.0,1097.0,1460.0,282.0,1216.0,469.0,487.0,777.0,735.0,445.0,40.0
"2015","transit","total","Mission/Potrero",24911.0,5021.0,4227.0,3629.0,7778.0,2069.0,2005.0,721.0,2176.0,1657.0,2159.0,2330.0,3514.0,5147.0,381.0
"2050","transit","discretionary","Hill Districts",2532.0,605.0,397.0,798.0,753.0,396.0,341.0,211.0,241.0,635.0,555.0,1268.0,390.0,271.0,17.0
"2050","transit","mandatory","Richmond",6507.0,1429.0,1275.0,1374.0,988.0,190.0,1349.0,1588.0,254.0,190.0,572.0,1577.0,765.0,1302.0,176.0
"2015","total","discretionary","Richmond",8816.0,2398.0,3792.0,11942.0,3927.0,1859.0,13284.0,52557.0,1109.0,2230.0,3085.0,21384.0,7161.0,2466.0,3221.0
"2015","uber/lyft","total","East Bay",536.0,349.0,559.0,113.0,106.0,28.0,117.0,15.0,20.0,9.0,12.0,22.0,549.0,67528.0,215.0
"2050","uber/lyft","discretionary","Bayshore",632.0,896.0,300.0,181.0,795.0,241.0,67.0,10.0,1096.0,246.0,104.0,83.0,167.0,7.0,0.0
"2050","total","total","Outer Mission",15862.0,8353.0,3971.0,8367.0,18166.0,13321.0,4224.0,3989.0,22480.0,64595.0,22200.0,32031.0,54723.0,7617.0,1548.0
"2015","walk/bike","mandatory","Outer Mission",238.0,79.0,45.0,108.0,220.0,339.0,52.0,38.0,571.0,2642.0,1335.0,768.0,788.0,0.0,5.0
"2050","transit","total","North Bay",5820.0,1281.0,1363.0,536.0,563.0,68.0,738.0,257.0,111.0,85.0,96.0,369.0,274.0,1686.0,32765.0
"2015","walk/bike","total","Mission/Potrero",8862.0,7499.0,1818.0,8365.0,38793.0,6674.0,1585.0,327.0,2466.0,634.0,928.0,745.0,321.0,0.0,23.0
"2015","drive","mandatory","Outer Mission",2150.0,1386.0,754.0,1238.0,2539.0,1614.0,940.0,754.0,2896.0,4259.0,2725.0,3398.0,9982.0,2800.0,649.0
"2015","drive","total","N. Beach/Chinatown",14120.0,5434.0,14328.0,6886.0,7911.0,2169.0,11912.0,4233.0,3220.0,1743.0,1385.0,3775.0,8215.0,11903.0,5444.0
"2015","total","mandatory","Mission/Potrero",27106.0,10291.0,6869.0,8725.0,21964.0,5580.0,5093.0,2510.0,6723.0,3465.0,4266.0,5778.0,15768.0,14667.0,2924.0
"2050","transit","discretionary","Outer Mission",3782.0,934.0,568.0,737.0,1090.0,637.0,327.0,184.0,618.0,1427.0,639.0,1042.0,922.0,327.0,20.0
"2050","transit","mandatory","Bayshore",8042.0,2969.0,1481.0,891.0,2900.0,726.0,594.0,254.0,4550.0,831.0,1201.0,1398.0,2213.0,2010.0,80.0
"2050","transit","mandatory","East Bay",69386.0,18602.0,11658.0,4865.0,9486.0,1192.0,3994.0,1382.0,2118.0,1042.0,1121.0,2683.0,21517.0,317450.0,1428.0
"2050","total","total","SoMa",114665.0,110894.0,31303.0,31874.0,73857.0,9958.0,17930.0,7522.0,18737.0,8276.0,7573.0,13333.0,26364.0,48951.0,5301.0
"2015","walk/bike","discretionary","Richmond",556.0,126.0,210.0,1747.0,114.0,78.0,2628.0,20657.0,16.0,30.0,148.0,2653.0,32.0,0.0,27.0
"2015","transit","mandatory","North Bay",5651.0,1011.0,1284.0,326.0,320.0,59.0,544.0,172.0,66.0,40.0,59.0,176.0,126.0,1185.0,21815.0
"2050","total","discretionary","SoMa",71505.0,79616.0,18471.0,20464.0,48037.0,6169.0,9763.0,3832.0,11250.0,4920.0,3110.0,6212.0,10414.0,17498.0,1939.0
"2015","transit","discretionary","Hill Districts",1642.0,315.0,298.0,558.0,501.0,293.0,226.0,136.0,136.0,460.0,476.0,739.0,272.0,144.0,14.0
"2015","uber/lyft","mandatory","Bayshore",365.0,166.0,310.0,83.0,105.0,41.0,55.0,14.0,59.0,26.0,44.0,33.0,73.0,21.0,2.0
"2015","uber/lyft","discretionary","Richmond",421.0,127.0,330.0,471.0,97.0,32.0,402.0,794.0,6.0,12.0,59.0,355.0,23.0,0.0,12.0
"2050","total","mandatory","Bayshore",13385.0,7775.0,3486.0,3589.0,12552.0,4487.0,2535.0,1419.0,27149.0,5115.0,4215.0,5455.0,23811.0,9424.0,1364.0
"2050","walk/bike","mandatory","N. Beach/Chinatown",10983.0,2505.0,8529.0,1205.0,1146.0,123.0,2226.0,222.0,107.0,46.0,67.0,175.0,45.0,1.0,20.0
"2015","walk/bike","total","Bayshore",670.0,374.0,181.0,322.0,2428.0,2310.0,136.0,50.0,19381.0,1784.0,448.0,242.0,969.0,0.0,6.0
"2050","transit","mandatory","Mission/Potrero",27988.0,8750.0,4946.0,3293.0,9227.0,1379.0,2213.0,933.0,2795.0,1219.0,2359.0,2499.0,4738.0,9312.0,456.0
"2050","transit","discretionary","North Bay",1122.0,167.0,298.0,123.0,89.0,20.0,187.0,62.0,18.0,24.0,17.0,67.0,32.0,238.0,8001.0
"2015","uber/lyft","mandatory","Noe/Glen/Bernal",202.0,87.0,137.0,82.0,85.0,36.0,46.0,13.0,41.0,19.0,46.0,47.0,61.0,21.0,4.0
