district,pickups_2015,pickups_2050,dropoffs_2015,dropoffs_2050,pickups_year_growth,dropoffs_year_growth
bayshore,127433.0,219631.0,127479.0,220210.0,1.0156746681899214,1.0157405981270855
downtown,224058.0,309932.0,219406.0,303197.0,1.0093130410325433,1.0092845180418029
hill_districts,86752.0,109202.0,87048.0,109758.0,1.0065972639855654,1.0066453616962512
marina_and_n_heights,140132.0,158610.0,140906.0,159782.0,1.003545227315532,1.003598383974235
mission_and_potrero,201756.0,325139.0,202652.0,326304.0,1.013727475045489,1.0137027260082256
n_beach_and_chinatown,127093.0,156728.0,127451.0,158164.0,1.0060063294309385,1.0061876504011402
noe_and_glen_and_bernal,93311.0,108336.0,93982.0,108963.0,1.0042748112951114,1.004234801551219
outer_mission,112205.0,151678.0,112607.0,152687.0,1.0086495443482995,1.0087375570746937
richmond,118639.0,139448.0,119120.0,139669.0,1.004628004944151,1.00455732313051
soma,108146.0,236844.0,106530.0,234074.0,1.0226504125675273,1.022746579494313
sunset,223053.0,309752.0,223676.0,310480.0,1.009425934518142,1.0094131969392939
western_market,168232.0,204430.0,169953.0,206442.0,1.005583577225513,1.0055725426896729
east_bay,624082.0,761048.0,626703.0,764613.0,1.0056850894411717,1.0056989512819574
north_bay,194015.0,233016.0,194424.0,233653.0,1.0052471941282985,1.0052651199282168
south_bay,625119.0,783051.0,625260.0,782757.0,1.0064566346721142,1.0064393508949336
