,O,D,flow
0,65348742,65306993,1
1,5102744276,65293642,1
2,5019919811,1723738892,1
3,65317369,1723739226,1
4,65328976,4998861436,1
5,4547300232,4177105001,1
6,65290284,4178230427,1
7,65351748,1728581635,1
8,3645272795,4731768492,1
9,4177104996,5000827322,1
10,65306829,2322615161,1
11,65303566,65317511,1
12,4759501695,763662558,1
13,4759501661,260193612,1
14,2143369209,65297159,1
15,1723739197,945302892,1
16,65325363,831556633,1
17,4178230428,2080819762,1
18,258758039,65361864,1
19,65280432,1723739089,1
20,2449889433,65306993,1
21,301174730,65334461,1
22,65348742,65282490,1
23,65374337,2317961422,1
24,581047109,65302182,1
25,65333959,4911554704,1
26,612766087,65287211,1
27,1243846577,612029155,1
28,65327147,612029182,1
29,4757430231,4493184775,1
30,65317957,65300049,1
31,258970633,4021588105,1
32,4061806107,5020800957,1
33,65306942,1621275313,1
34,65284065,300757404,1
35,65285635,2548141867,1
36,1723739054,767840932,1
37,257316386,4518026426,1
38,4917881736,420508884,1
39,65314158,65317043,1
40,729040229,65303749,1
41,3722672038,65336960,1
42,1582859735,65306245,1
43,65318131,4503467069,1
44,1308305480,4019009265,1
45,65318326,4505381657,1
46,65306991,1564279887,1
47,1723739368,4505381649,1
48,65334523,3999458662,1
49,65339099,3997881105,1
50,65312158,3978836013,1
51,612766036,65353195,1
52,65338282,65289131,1
53,1148372859,1266422689,1
54,763026589,65312380,1
55,65306847,4503467079,1
56,1511349546,3078438193,1
57,1564279877,3719569481,1
58,3998708923,65353310,1
59,4808718502,65333471,1
60,4179555579,612028697,1
61,1723738896,2548141867,1
62,5005671136,3532719201,1
63,65314570,65358391,1
64,65373321,65352426,1
65,300781635,4518026427,1
66,4061762654,4013412735,1
67,5257236556,5287233205,1
68,65317715,4888219855,1
69,4061806107,65290928,1
70,5257236558,65290931,1
71,3999458663,1613924565,1
72,65294202,3999658235,1
73,355787195,65295279,1
74,65336838,65307007,1
75,300455591,65326698,1
76,1613924564,4019010390,1
77,65334009,2071280038,1
78,2605799275,4406691781,1
79,330660359,65330577,1
80,65345130,865946070,1
81,1243846493,65281944,1
82,65352339,65371963,1
83,4659622289,1420265631,1
84,2605799275,65334111,1
85,4035890918,4503467069,1
86,4759501881,300456473,1
87,5283675521,3860557669,1
88,173176453,300459905,1
89,4179475364,4089809875,1
90,258968244,4089809875,1
91,4757430248,4018809911,1
92,65292045,3472237367,1
93,65295289,2726269048,1
94,4503467072,3449339694,1
95,65295293,2713439418,1
96,4503467069,359985003,1
97,65295289,3526821459,1
98,267455444,890045131,1
99,3999660977,65353310,1
100,3999700913,302742666,1
101,4763953416,1266422687,1
102,65317784,4911554681,1
103,1677798441,1266422692,1
104,4183593019,4177104994,1
105,4763953416,4177104989,1
106,65324934,65363168,1
107,2143369211,315437722,1
108,4734121542,1028661030,1
109,5020557546,65306967,1
110,4730235267,1419794040,1
111,4019097620,5020852180,1
112,65334133,733639375,1
113,4177105016,65283776,1
114,65334133,1266064662,1
115,4177105016,2548141869,1
116,4177198628,65317043,1
117,5038477632,1723739360,1
118,314079075,65304896,1
119,65364700,1270745631,1
120,3719569477,1719012938,1
121,65333152,65300056,1
122,65326740,5020557546,1
123,65298456,3972267741,1
124,1511349531,258916782,1
125,1088102134,65295388,1
126,386899314,4809568689,1
127,4828619360,1971115405,1
128,65319913,314079203,1
129,65319911,5038477632,1
130,65319911,1266064661,1
131,65336924,1618243466,1
132,265506642,4183593059,1
133,258967876,65369700,1
134,258968241,4759501841,1
135,4728917952,3695568702,1
136,65318326,1332541745,1
137,1723738965,65300105,1
138,3978841919,65316191,1
139,4018840072,295184727,1
140,65360482,1601995464,1
141,65360482,1041008464,1
142,65363171,4402491113,1
143,1266422700,65319456,1
144,300761095,4402491113,1
145,1266422677,65334473,1
146,4382258031,4177198629,1
147,65333947,2081940977,1
148,65362647,3999273477,1
149,581074111,3999273478,1
150,4018840051,1511349554,1
151,65339539,65295287,1
152,65355964,65291738,1
153,65318562,1614316115,1
154,1728581630,3500164396,1
155,4008988498,2081940977,1
156,4008988318,65291738,1
157,65299429,1130443086,1
158,3978847385,1270745639,1
159,1723738892,65295311,1
160,1723739045,4503467079,1
161,65324327,5020557552,1
162,869969302,4659622291,1
163,1580501214,4495540994,1
164,65307645,65293488,1
165,65281253,612767848,1
166,4757825830,65299290,1
167,4757825800,65299283,1
168,4757825798,65299290,1
169,4002286808,65364369,1
170,65326904,4188186127,1
171,65317780,65328694,1
172,65326740,3902413695,1
173,1221046361,65314175,1
174,1221046489,4759500476,1
175,4008988498,65315836,1
176,65299782,4528892673,1
177,65357090,4759501683,1
178,65374906,3066641471,1
179,4177198638,2081940977,1
180,1270745635,65325277,1
181,65364700,65334473,1
182,4021114903,2143369211,1
183,612769753,65312007,1
184,65331024,3978835979,1
185,65283395,65336860,1
186,65303531,65319587,1
187,1206753813,65306800,1
188,1723739386,1723739112,1
189,1266422703,1723738843,1
190,4548596614,916328139,1
191,1266422703,65363153,1
192,1613924564,1152536997,1
193,5005671142,65376379,1
194,65289075,4015833324,1
195,5316315850,253105540,1
196,65326714,4941620875,1
197,65294136,916328138,1
198,65294136,916328132,1
199,4045338407,916328137,1
200,65283528,295811049,1
201,1270745635,5241901983,1
202,65280217,302035013,1
203,65312546,65339068,1
204,616937026,1723739089,1
205,496536666,4177227593,1
206,2063966775,65306991,1
207,2063966775,1723738965,1
208,4186794498,65351987,1
209,4763953379,65346767,1
210,258758547,4763953727,1
211,65312158,65290876,1
212,1973854157,65318989,1
213,65328382,4023103680,1
214,4757430249,4730235235,1
215,4475542320,65328366,1
216,2304626339,65315779,1
217,65317599,2653206544,1
218,1563110109,1221046377,1
219,754560711,4719395998,1
220,725288203,4044919956,1
221,5283668865,239601915,1
222,733588454,2701110235,1
223,5019919819,763663712,1
224,2671229965,763669379,1
225,869969302,65295328,1
226,65329575,4941620659,1
227,65295352,4496150594,1
228,65295359,3645272850,1
229,4757825846,4496150592,1
230,65372847,3406604950,1
231,4730235223,3406604946,1
232,5287124093,4759501711,1
233,65338805,4728918194,1
234,3719571433,3998169805,1
235,367017143,4416004195,1
236,367017022,65354081,1
237,4104779287,3998169805,1
238,65317548,65293741,1
239,4086362558,65297142,1
240,4496150594,4177086673,1
241,3449339693,4177104996,1
242,65297239,1260547077,1
243,65328764,65306840,1
244,4406692073,4177086674,1
245,300782042,65319565,1
246,4019096999,4548596612,1
247,4406692049,4911554681,1
248,3997744362,300761099,1
249,3645272794,4022986172,1
250,65343969,5000826415,1
251,65307399,4177198626,1
252,4018809937,65310181,1
253,4566207694,65373502,1
254,4036026201,65319544,1
255,4603528486,4011962211,1
256,4402491103,65319940,1
257,945305039,4018840041,1
258,4911554686,1270745645,1
259,4509833269,532816870,1
260,65306948,65365830,1
261,65293743,65343960,1
262,65319921,1895821100,1
263,4705093670,1728581547,1
264,4763953232,1270745645,1
265,3500164393,1409407282,1
266,4659607786,65306288,1
267,4603460300,65317050,1
268,4800142348,65325723,1
269,4008988346,1723768750,1
270,65336123,2069694255,1
271,5241967570,1723739181,1
272,4357170828,945305041,1
273,4547464635,4763953307,1
274,4035920620,4730235267,1
275,259395125,65324856,1
276,3779623441,65310804,1
277,3860557690,300761093,1
278,1728581544,3999391081,1
279,300459900,1266450419,1
280,54891569,1266422703,1
281,65327910,65328992,1
282,65336607,65312158,1
283,2322615160,4406691910,1
284,4019269624,4183593057,1
285,4757430169,1723563806,1
286,65307477,65286153,1
287,65330491,258911629,1
288,268235500,65317032,1
289,768245465,65306800,1
290,65300025,65325227,1
291,4719395998,65306800,1
292,4719395998,65325227,1
293,3860557690,4179595256,1
294,2613221273,1580501212,1
295,4019097006,581047109,1
296,5230959889,5311602980,1
297,4759501662,65304386,1
298,65314175,4025736614,1
299,65317595,65334193,1
300,3527092114,2304626363,1
301,65290286,763662552,1
302,733593928,65330654,1
303,3652898018,65285181,1
304,3102328772,4186794506,1
305,1723739112,65290299,1
306,65315465,612726655,1
307,4179595249,1792795203,1
308,65357266,763662666,1
309,65348303,763662553,1
310,65317058,65349712,1
311,4402491120,2274244013,1
312,65334471,2304626354,1
313,65310894,2577219793,1
314,2381798128,4019010390,1
315,65312017,65296806,1
316,65312007,1582797078,1
317,65295279,1621275313,1
318,2381798128,1677788921,1
319,4177127575,5014084173,1
320,3112173496,65368992,1
321,65371935,65345231,1
322,65295284,5080202405,1
323,4759501688,65317043,1
324,65295279,65315800,1
325,65297832,309033124,1
326,2251965280,65344154,1
327,1270672015,1202382197,1
328,2248769209,65306918,1
329,65374858,65303500,1
330,65296797,1147880114,1
331,1264296815,65294056,1
332,4019410697,65321713,1
333,865946070,612725927,1
334,430971708,65303506,1
335,65323352,430971707,1
336,1677798442,2064190371,1
337,65296201,4019577207,1
338,2323785117,1332541745,1
339,2325127278,65306991,1
340,65303583,65295279,1
341,1293498455,65290733,1
342,65319944,1895821101,1
343,4181974624,2548141870,1
344,2613275177,65329405,1
345,2922128564,65303488,1
346,65336672,2143369213,1
347,65336344,2143369212,1
348,65373502,65313137,1
349,65318612,65319906,1
350,1621275313,65324344,1
351,65317054,65329943,1
352,65319555,869969301,1
353,65311567,65317045,1
354,1511342572,1274907147,1
355,65332058,371151391,1
356,1564279875,65306920,1
357,3835270040,1723739392,1
358,4505381651,1723739392,1
359,65320182,1578907787,1
360,4177104997,1718784487,1
361,4061806111,1564435027,1
362,65295289,65306288,1
363,65290928,65294171,1
364,65285109,3379321528,1
365,65358453,1260360840,1
366,1589004332,4763953414,1
367,2502204981,1975846054,1
368,65301128,1266422710,1
369,65293169,1260360913,1
370,65322653,300757404,1
371,65295332,258756405,1
372,1582859570,1723768737,1
373,1728581535,300514847,1
374,1728581644,1266422709,1
375,65306286,65302160,1
376,4757825807,2143369213,1
377,301658243,65317051,1
378,65295278,4186794505,1
379,4659607787,65290954,1
380,4659607787,65290296,1
381,5294727785,1130443207,1
382,4828619450,3447483940,1
383,65336858,65336496,1
384,258965262,4074897693,1
385,5019919799,1266060491,1
386,65306827,65351783,1
387,4179555576,3532718885,1
388,300782274,4925013317,1
389,65310863,5020557543,1
390,3716467612,65319913,1
391,295221942,65317738,1
392,65300080,65373403,1
393,65300080,65312619,1
394,1250280520,1067998754,1
395,65374824,4730235195,1
396,2884715022,310985730,1
397,828418107,4019576755,1
398,65329071,65292818,1
399,267455480,4177227596,1
400,65335812,4691974375,1
401,615278333,65328703,1
402,4019010389,65307007,1
403,65290286,65302739,1
404,621547505,4008988538,1
405,65319587,4501009661,1
406,65325227,4402491099,1
407,295083425,4763953411,1
408,3999081406,65324938,1
409,4495540993,4045035894,1
410,2101121555,4759501825,1
411,65307366,4759501826,1
412,65307368,4759501853,1
413,65288996,65281916,1
414,65318326,265666751,1
415,1723739089,3999586585,1
416,65362483,3978836039,1
417,65325721,4179475358,1
418,4731768476,1723738868,1
419,65299793,4177279590,1
420,65351774,4015833324,1
421,65317542,4015833324,1
422,4017542519,4019097026,1
423,612769609,1196896168,1
424,4759501865,65329405,1
425,4759501858,5318541602,1
426,258758548,4547300235,1
427,258758548,733593928,1
428,1564279906,2304626361,1
429,1243846526,4406692048,1
430,5020813206,4334974840,1
431,65306543,65318129,1
432,65318425,65303743,1
433,764465976,65318126,1
434,65297095,65295281,1
435,65322448,4659622291,1
436,5005671134,65296029,1
437,298083539,2480394561,1
438,267455482,764841120,1
439,1243846510,1930265824,1
440,4880860063,65362642,1
441,65352321,5311602980,1
442,4000630119,65286454,1
443,5020557553,5102833141,1
444,258911587,768245456,1
445,2315555444,4061762654,1
446,1266060463,2884715022,1
447,1677788954,65351748,1
448,5318541606,65292780,1
449,65322057,65317051,1
450,3831546997,65299058,1
451,3454073843,590986656,1
452,4518026424,65313433,1
453,4757825776,65339460,1
454,4759501695,65297832,1
455,65320954,4000795672,1
456,3102328772,1147880104,1
457,1622598116,65361877,1
458,1622598116,3722672445,1
459,4730235611,2035213219,1
460,65318282,65313437,1
461,65318282,65345320,1
462,65342638,2800130429,1
463,4720933147,4757825844,1
464,65285622,65312616,1
465,65318144,65334469,1
466,2808021036,65336496,1
467,4183593249,65293746,1
468,258967891,2101121555,1
469,1723251074,1723739368,1
470,65280905,65300097,1
471,65294547,65300107,1
472,4493506219,65300107,1
473,2081940977,5318541602,1
474,65371309,65356158,1
475,65293500,4719395994,1
476,65326736,3999729294,1
477,65306918,703454965,1
478,1723738900,703427253,1
479,65349622,65312327,1
480,4177227606,1723564007,1
481,65295293,3500164393,1
482,612766320,3118789725,1
483,3447483942,65317945,1
484,1270672015,5000827727,1
485,65334471,65303495,1
486,65334469,3779132142,1
487,4008988335,3393386010,1
488,612771497,348020602,1
