,O,D,flow
0,16127,70070,1
1,507,18616,1
2,16960,35437,1
3,51856,76647,1
4,60699,27634,1
5,35749,56648,1
6,21143,17966,1
7,6270,79463,1
8,55458,3536,1
9,37478,37315,1
10,38201,45851,1
11,22865,75805,1
12,40678,14184,1
13,63319,75885,1
14,76889,61270,1
15,43228,75212,1
16,80991,49740,1
17,41343,12024,1
18,63520,54316,1
19,39705,12378,1
20,7850,30608,1
21,75658,44747,1
22,8174,55654,1
23,59188,72854,1
24,9845,67365,1
25,13389,47979,1
26,41962,79261,1
27,6479,61270,1
28,17172,75853,1
29,43389,16845,1
30,56363,35802,1
31,14486,79992,1
32,49325,24095,1
33,59323,74596,1
34,12594,8699,1
35,28862,68965,1
36,2343,10247,1
37,43200,7263,1
38,20753,43538,1
39,51621,72668,1
40,24315,35802,1
41,20616,33711,1
42,51307,29021,1
43,51307,75363,1
44,4889,62453,1
45,43017,35914,1
46,74581,55902,1
47,58882,83300,1
48,33561,49153,1
49,23218,18672,1
50,28165,27623,1
51,80127,72800,1
52,64537,24994,1
53,47957,78389,1
54,78976,32193,1
55,48069,80991,1
56,7651,30361,1
57,25163,36689,1
58,74640,45883,1
59,38679,44729,1
60,70923,27557,1
61,35669,40035,1
62,49666,49795,1
63,28250,49795,1
64,3275,19730,1
65,55191,60841,1
66,2714,40435,1
67,71425,32371,1
68,54492,58436,1
69,51393,74037,1
70,66037,42703,1
71,37422,63076,1
72,2499,74295,1
73,3315,81931,1
74,38700,38633,1
75,54615,43102,1
76,22308,60036,1
77,18845,22317,1
78,69777,73708,1
79,546,18768,1
80,56258,3731,1
81,23529,76686,1
82,38411,75805,1
83,546,2287,1
84,9432,1823,1
85,76417,16249,1
86,33372,34101,1
87,22454,9998,1
88,29403,51761,1
89,63522,70008,1
90,15478,36461,1
91,71331,21122,1
92,701,17335,1
93,82122,40468,1
94,7307,18279,1
95,7307,21086,1
96,24282,65267,1
97,40204,1064,1
98,79549,8917,1
99,68695,5386,1
100,52167,39678,1
101,36110,8061,1
102,38856,80202,1
103,36110,35963,1
104,76524,43791,1
105,74060,46425,1
106,44828,71295,1
107,34620,51576,1
108,7092,74515,1
109,5829,21717,1
110,41432,42896,1
111,31447,41632,1
112,22703,20068,1
113,42357,38644,1
114,43486,22622,1
115,36730,60021,1
116,14627,10615,1
117,5446,73423,1
118,8606,8163,1
119,46248,65119,1
120,76160,66466,1
121,30699,57805,1
122,51919,9866,1
123,42406,24416,1
124,13786,74338,1
125,49290,70840,1
126,3161,47675,1
127,61713,2499,1
128,54081,26286,1
129,43480,44563,1
130,31807,8447,1
131,1432,4469,1
132,81590,51618,1
133,4219,71070,1
134,33941,16238,1
135,75097,3074,1
136,43170,54200,1
137,74581,49926,1
138,57392,7212,1
139,55574,43057,1
140,19308,12469,1
141,29653,12469,1
142,78581,8766,1
143,24458,14410,1
144,8168,12857,1
145,48605,38630,1
146,6947,49633,1
147,106,58475,1
148,42755,17674,1
149,21190,27954,1
150,10771,34708,1
151,36312,17226,1
152,68031,52236,1
153,68422,21060,1
154,25663,76882,1
