,O,D,flow
0,37364,40372,1
1,39804,28681,1
2,10620,41563,1
3,16218,23202,1
4,36214,36242,1
5,22107,2637,1
6,8668,3579,1
7,35776,38281,1
8,10003,3263,1
9,24245,23105,1
10,2623,23105,1
11,35890,3263,1
12,4550,29340,1
13,4555,22386,1
14,13346,22383,1
15,34302,14687,1
16,11564,3048,1
17,16234,18451,1
18,14168,16792,1
19,14167,32933,1
20,12029,29305,1
21,9659,27887,1
22,1142,16428,1
23,32475,10381,1
24,40256,19909,1
25,17301,14716,1
26,24191,14716,1
27,8907,4271,1
28,20512,7467,1
29,11173,19690,1
30,35639,5681,1
31,6505,35065,1
32,39217,23232,1
33,13505,19142,1
34,29048,7073,1
35,13978,3118,1
36,1830,30544,1
37,10693,31578,1
38,40678,34838,1
39,40679,35198,1
40,40679,16321,1
41,10563,10628,1
42,28310,1672,1
43,8634,1187,1
44,4751,30114,1
45,20256,18063,1
46,7975,16490,1
47,5990,16224,1
48,29531,9271,1
49,5992,6509,1
50,11023,36848,1
51,6227,24053,1
52,26154,3748,1
53,7369,19625,1
54,14732,33806,1
55,17926,11442,1
56,33575,4642,1
57,7120,17277,1
58,12106,30562,1
59,362,7353,1
60,19127,32545,1
61,19127,7909,1
62,38552,18272,1
63,3129,39217,1
64,3040,5158,1
65,40889,16490,1
66,40889,16227,1
67,11205,31603,1
68,4597,36989,1
69,17276,7551,1
70,17275,8246,1
71,7353,16934,1
72,11622,12310,1
73,28185,2401,1
74,17294,10497,1
75,28689,24222,1
76,18989,39255,1
77,32650,20057,1
78,841,8654,1
79,848,15253,1
80,6761,1221,1
81,32653,11024,1
82,5165,5993,1
83,3127,13996,1
84,6035,2636,1
85,8904,21107,1
86,30148,10488,1
87,23276,16330,1
88,14437,24903,1
89,18282,24839,1
90,16740,14876,1
91,19835,9577,1
92,37465,19665,1
93,25250,35301,1
94,34064,32640,1
95,4295,17273,1
96,31211,12503,1
97,14441,20257,1
98,16395,34731,1
99,13564,19107,1
100,39512,31444,1
101,15090,18030,1
102,21681,10491,1
103,36861,17182,1
104,1502,31614,1
105,36861,1147,1
106,20035,19030,1
107,2770,20952,1
108,3051,23206,1
109,33612,3144,1
110,19371,6801,1
111,19353,4232,1
112,7076,28664,1
113,17361,13681,1
114,22580,14072,1
115,1673,31996,1
116,37686,34059,1
117,37687,14715,1
118,29253,28681,1
119,11132,35245,1
120,11127,7551,1
121,11133,20628,1
122,7034,7096,1
